code,date
601330,2021-03-31
601330,2021-08-24
601330,2022-11-28
601330,2023-04-14
601330,2023-04-24
601330,2024-03-06
601333,2009-04-29
601333,2009-11-19
601333,2009-11-25
601333,2010-08-06
601333,2010-10-25
601333,2013-01-14
601333,2013-12-04
601333,2014-12-08
601333,2014-12-25
601333,2015-03-30
601333,2017-12-26
601333,2020-08-17
601333,2021-03-22
601333,2022-06-14
601333,2022-12-16
601333,2023-05-17
601333,2024-03-06
601336,2012-12-31
601336,2014-11-13
601336,2016-04-05
601336,2016-11-03
601336,2016-11-21
601336,2018-09-03
601336,2020-01-13
601336,2020-09-28
601336,2022-06-30
601336,2023-04-17
601336,2023-05-15
601336,2024-03-01
601339,2013-01-09
601339,2013-03-20
601339,2013-05-16
601339,2013-09-13
601339,2013-09-23
601339,2013-10-08
601339,2013-12-03
601339,2014-02-17
601339,2014-08-04
601339,2014-08-11
601339,2014-09-17
601339,2014-09-18
601339,2014-11-12
601339,2015-06-01
601339,2016-11-24
601339,2017-02-20
601339,2017-07-12
601339,2022-01-17
601339,2022-09-05
601339,2022-12-13
601339,2024-01-24
601339,2024-03-14
601360,2012-05-17
601360,2013-12-19
601360,2014-02-10
601360,2014-10-15
601360,2014-10-16
601360,2015-06-10
601360,2016-03-30
601360,2016-04-11
601360,2016-10-27
601360,2016-11-21
601360,2020-12-11
601360,2022-11-14
601366,2018-03-21
601366,2019-03-18
601366,2019-03-19
601366,2020-07-01
601366,2022-04-26
601368,2015-10-23
601368,2016-07-14
601368,2016-09-14
601368,2020-07-20
601368,2023-02-09
601368,2023-03-08
601368,2023-05-22
601368,2023-07-18
601368,2023-07-21
601368,2023-11-10
601368,2023-11-23
601369,2013-01-14
601369,2013-02-20
601369,2013-12-13
601369,2014-04-18
601369,2014-08-11
601369,2014-12-08
601369,2015-03-09
601369,2015-03-30
601369,2015-04-10
601369,2015-04-29
601369,2015-06-01
601369,2015-11-16
601369,2016-03-30
601369,2016-07-12
601369,2017-03-29
601369,2017-12-06
601369,2018-04-19
601369,2018-11-21
601369,2019-03-11
601369,2020-05-11
601369,2020-07-20
601369,2021-01-07
601369,2021-01-21
601369,2021-03-11
601369,2021-05-31
601369,2021-07-29
601369,2021-09-17
601369,2021-09-22
601369,2022-06-10
601369,2022-06-23
601369,2023-01-31
601375,2021-09-15
601375,2022-01-26
601375,2023-08-11
601377,2012-02-02
601377,2012-03-02
601377,2013-09-09
601377,2014-07-14
601377,2014-11-20
601377,2014-11-21
601377,2014-12-16
601377,2017-02-20
601377,2019-03-06
601377,2019-12-30
601377,2020-11-23
601377,2020-11-27
601377,2020-12-01
601377,2021-08-18
601377,2023-07-21
601377,2024-02-29
601388,2012-12-25
601388,2013-01-08
601388,2014-09-17
601388,2016-06-14
601388,2016-07-05
601388,2019-12-24
601388,2020-03-10
601388,2020-05-20
601388,2021-08-24
601390,2008-11-21
601390,2009-06-17
601390,2010-08-06
601390,2011-02-11
601390,2012-03-02
601390,2014-09-24
601390,2014-11-12
601390,2014-12-25
601390,2015-04-08
601390,2017-04-05
601390,2017-09-13
601390,2018-10-12
601390,2020-04-17
601390,2020-11-16
601390,2021-03-03
601390,2021-03-05
601390,2022-04-19
601398,2007-04-10
601398,2007-08-20
601398,2012-01-17
601398,2012-01-19
601398,2012-12-25
601398,2016-03-16
601398,2016-06-14
601398,2016-12-05
601398,2016-12-09
601398,2017-02-09
601398,2017-04-12
601398,2017-05-22
601398,2018-01-31
601398,2018-02-05
601398,2019-11-01
601398,2021-03-03
601398,2021-10-21
601398,2022-06-29
601398,2022-12-05
601398,2024-01-03
601398,2024-02-19
601399,2021-05-12
601399,2021-08-23
601399,2021-12-29
601399,2023-02-09
601399,2023-04-27
601399,2024-02-29
601456,2021-05-28
601456,2023-02-01
601456,2023-08-14
601456,2024-03-07
601500,2018-05-15
601500,2019-03-18
601500,2020-06-09
601500,2020-12-01
601500,2021-04-22
601500,2022-01-17
601500,2022-01-19
601500,2022-06-10
601500,2022-06-13
601500,2023-02-20
601500,2023-11-23
601500,2024-03-04
601512,2021-06-18
601512,2023-02-20
601512,2023-02-22
601515,2012-09-19
601515,2012-12-25
601515,2013-12-24
601515,2014-09-19
601515,2015-02-02
601515,2017-09-18
601515,2021-05-20
601515,2022-04-19
601515,2023-02-07
601515,2023-05-22
601518,2010-08-02
601518,2012-10-29
601518,2013-06-03
601518,2013-09-09
601518,2013-09-23
601518,2013-12-04
601518,2014-04-18
601518,2014-11-12
601518,2014-11-13
601518,2015-03-09
601518,2016-11-21
601518,2017-02-20
601518,2017-03-01
601518,2017-07-13
601518,2019-12-24
601518,2021-09-22
601518,2021-12-29
601518,2022-08-30
601518,2022-11-22
601518,2023-02-10
601518,2023-12-01
601519,2013-01-14
601519,2013-09-30
601519,2014-02-17
601519,2014-04-22
601519,2016-07-12
601519,2017-08-23
601519,2019-09-02
601519,2021-12-21
601528,2021-12-08
601528,2021-12-09
601528,2021-12-16
601528,2022-12-08
601555,2012-02-22
601555,2012-03-08
601555,2014-04-18
601555,2015-02-26
601555,2015-03-05
601555,2015-10-30
601555,2016-07-04
601555,2018-11-09
601555,2019-12-30
601555,2020-03-02
601555,2021-03-22
601555,2021-04-01
601555,2022-08-25
601555,2023-04-17
601566,2011-07-26
601566,2011-07-27
601566,2012-05-17
601566,2012-05-22
601566,2013-09-23
601566,2013-09-25
601566,2013-12-04
601566,2015-02-03
601566,2015-04-16
601566,2015-11-02
601566,2016-01-06
601566,2016-07-12
601566,2016-11-03
601566,2017-03-15
601566,2017-03-20
601566,2021-04-01
601566,2021-10-26
601566,2024-01-30
601567,2012-03-02
601567,2013-01-14
601567,2013-01-23
601567,2014-02-10
601567,2014-02-14
601567,2014-11-10
601567,2014-11-12
601567,2015-02-09
601567,2015-10-22
601567,2019-12-19
601567,2019-12-25
601567,2020-03-02
601567,2021-11-29
601567,2022-10-26
601567,2023-12-08
601568,2021-09-22
601577,2020-06-30
601577,2021-10-21
601577,2022-01-18
601577,2023-01-18
601577,2023-05-04
601579,2015-11-16
601579,2015-11-19
601579,2015-11-24
601579,2015-12-29
601579,2016-06-15
601579,2017-03-01
601579,2017-10-19
601579,2019-09-18
601579,2020-06-04
601579,2021-06-04
601579,2021-09-16
601579,2022-04-28
601579,2022-12-14
601579,2023-08-03
601588,2007-03-05
601588,2010-10-25
601588,2011-04-06
601588,2011-04-12
601588,2011-04-22
601588,2012-03-02
601588,2012-04-24
601588,2012-04-25
601588,2012-11-01
601588,2012-12-25
601588,2013-01-14
601588,2013-09-18
601588,2014-04-01
601588,2014-08-11
601588,2014-08-14
601588,2014-09-24
601588,2016-11-25
601588,2016-12-01
601588,2017-05-25
601588,2021-03-09
601588,2021-03-11
601588,2021-05-24
601588,2021-12-15
601588,2022-11-23
601595,2016-11-02
601595,2018-01-11
601595,2019-01-23
601595,2019-01-24
601595,2019-03-25
601595,2019-07-09
601595,2019-12-19
601595,2020-05-12
601595,2020-06-05
601595,2021-06-01
601595,2021-09-15
601595,2021-12-21
601595,2021-12-24
601595,2021-12-27
601595,2021-12-29
601595,2023-04-19
601595,2023-04-20
601595,2024-03-13
