code,date
000001,2004-02-16
000001,2005-04-19
000001,2006-01-04
000001,2006-04-10
000001,2006-04-14
000001,2006-04-21
000001,2006-05-19
000001,2006-09-27
000001,2006-12-04
000001,2007-05-31
000001,2007-10-16
000001,2009-11-13
000001,2011-07-13
000001,2012-02-08
000001,2012-05-04
000001,2012-12-25
000001,2013-06-04
000001,2017-07-06
000001,2017-07-07
000001,2017-09-04
000001,2017-09-12
000001,2019-02-18
000001,2019-04-16
000001,2019-10-21
000001,2019-12-26
000001,2020-01-13
000001,2020-09-14
000001,2022-04-15
000002,2000-11-22
000002,2002-03-05
000002,2002-03-14
000002,2004-08-20
000002,2006-04-11
000002,2006-11-03
000002,2006-11-06
000002,2006-11-30
000002,2007-03-28
000002,2008-04-10
000002,2008-11-21
000002,2008-12-16
000002,2011-04-15
000002,2011-04-18
000002,2012-02-02
000002,2012-03-08
000002,2012-04-18
000002,2012-04-25
000002,2012-12-20
000002,2013-02-05
000002,2013-05-28
000002,2014-03-21
000002,2014-04-08
000002,2014-07-18
000002,2015-04-16
000002,2015-04-21
000002,2015-04-27
000002,2015-07-23
000002,2015-11-03
000002,2015-11-04
000002,2016-10-10
000002,2017-03-23
000002,2017-11-29
000002,2018-09-04
000002,2019-01-18
000002,2020-11-17
000002,2020-12-02
000004,2001-04-11
000004,2002-03-11
000004,2005-09-16
000004,2006-11-15
000004,2007-08-06
000004,2007-08-14
000004,2007-12-26
000004,2008-01-02
000004,2008-08-06
000004,2008-08-07
000004,2009-03-19
000004,2009-06-16
000004,2009-11-02
000004,2010-08-05
000004,2010-11-04
000004,2012-06-13
000004,2012-06-19
000004,2012-07-17
000004,2012-07-18
000004,2013-04-17
000004,2013-04-24
000004,2013-05-17
000004,2013-08-20
000004,2014-07-11
000004,2014-09-29
000004,2015-03-10
000004,2015-04-13
000004,2015-06-01
000004,2015-06-08
000004,2015-11-04
000004,2015-12-22
000004,2020-10-27
000004,2020-11-05
000004,2021-06-21
000004,2022-08-22
000004,2023-02-07
000005,2000-04-06
000005,2000-06-12
000005,2000-11-22
000005,2000-11-29
000005,2004-04-12
000005,2005-08-15
000005,2005-08-22
000005,2006-04-10
000005,2009-11-25
000005,2016-06-24
000005,2019-02-22
000005,2019-09-02
000005,2021-07-23
000005,2022-01-06
000005,2022-11-25
000005,2022-11-28
000005,2023-08-14
000006,2000-04-04
000006,2000-04-05
000006,2000-06-13
000006,2001-03-19
000006,2001-12-06
000006,2003-01-24
000006,2003-12-18
000006,2005-08-17
000006,2005-09-13
000006,2006-05-15
000006,2006-11-02
000006,2006-11-15
000006,2007-03-15
000006,2007-07-27
000006,2008-12-01
000006,2008-12-03
000006,2009-07-14
000006,2009-11-25
000006,2012-03-08
000006,2012-04-11
000006,2012-04-12
000006,2012-12-19
000006,2013-01-14
000006,2013-08-27
000006,2016-07-19
000006,2016-07-26
000006,2018-05-24
000006,2020-06-12
000007,2001-03-28
000007,2001-07-20
000007,2002-03-18
000007,2004-02-20
000007,2005-05-23
000007,2005-05-31
000007,2006-01-18
000007,2006-01-19
000007,2006-02-08
000007,2009-04-20
000007,2009-06-17
000007,2009-07-17
000007,2009-07-31
000007,2009-11-25
000007,2010-06-24
000007,2010-08-06
000007,2011-11-09
000007,2012-05-15
000007,2013-05-27
000007,2015-03-25
000007,2016-08-31
000007,2019-08-15
000007,2021-07-14
000007,2022-08-19
000008,2003-01-27
000008,2004-10-08
000008,2006-04-14
000008,2006-04-17
000008,2006-09-27
000008,2006-10-13
000008,2007-08-14
000008,2007-08-31
000008,2009-04-02
000008,2009-06-25
000008,2010-08-13
000008,2011-05-19
000008,2011-07-13
000008,2013-01-14
000008,2013-02-08
000008,2014-02-27
000008,2023-02-09
000008,2023-12-06
000008,2023-12-07
000009,2005-08-17
000009,2006-02-17
000009,2006-04-03
000009,2007-03-02
000009,2007-04-25
000009,2007-05-21
000009,2009-07-14
000009,2009-10-28
000009,2009-11-02
000009,2010-08-06
000009,2010-08-30
000009,2010-11-15
000009,2012-02-22
000009,2012-02-24
000009,2013-01-14
000009,2013-01-23
000009,2013-05-16
000009,2014-09-05
000009,2014-12-10
000009,2015-03-10
000009,2016-07-18
000009,2020-06-16
000009,2020-07-20
000009,2021-04-20
000009,2022-06-17
000009,2022-08-05
000009,2022-08-08
000010,2000-04-06
000010,2000-07-25
000010,2001-03-15
000010,2001-04-05
000010,2001-04-06
000010,2002-03-18
000010,2003-09-08
000010,2004-02-20
000010,2004-11-26
000010,2004-11-30
000010,2006-07-14
000010,2006-08-21
000010,2007-02-07
000010,2007-04-25
000010,2009-02-23
000010,2009-10-28
000010,2010-04-01
000010,2016-07-20
000010,2017-10-18
000010,2018-06-20
000010,2021-03-22
000010,2022-05-24
000010,2022-06-02
000010,2022-09-14
000010,2023-07-28
000010,2023-10-24
000010,2023-10-27
000011,2000-11-28
000011,2001-03-26
000011,2001-07-23
000011,2001-12-06
000011,2003-01-27
000011,2003-09-09
000011,2003-09-19
000011,2006-08-30
000011,2006-09-11
000011,2007-01-09
000011,2007-08-03
000011,2007-08-30
000011,2009-04-09
000011,2009-11-03
000011,2011-03-04
000011,2011-04-27
000011,2012-04-25
000011,2013-09-09
000011,2015-04-21
000011,2015-10-23
000011,2015-11-04
000011,2017-05-25
000011,2017-09-08
000011,2017-09-19
000011,2019-03-29
000011,2021-09-15
000012,2000-08-21
000012,2002-03-19
000012,2002-05-17
000012,2006-01-18
000012,2007-01-15
000012,2008-05-08
000012,2008-05-12
000012,2008-05-14
000012,2009-01-21
000012,2010-03-11
000012,2010-08-02
000012,2010-08-23
000012,2010-11-15
000012,2011-07-13
000012,2013-05-24
000012,2013-06-14
000012,2014-08-15
000012,2014-11-12
000012,2014-12-08
000012,2014-12-10
000012,2015-02-11
000012,2015-05-12
000012,2015-11-16
000012,2017-02-21
000012,2017-11-20
000012,2017-11-24
000012,2017-12-04
000012,2019-09-02
000012,2019-10-25
000012,2019-12-26
000012,2019-12-30
000012,2020-01-09
000012,2020-07-20
000012,2020-11-18
000012,2022-09-20
000012,2022-09-27
000012,2023-11-30
000012,2023-12-08
000014,2000-06-12
000014,2000-08-08
000014,2000-08-11
000014,2001-07-04
000014,2002-03-05
000014,2002-03-19
000014,2003-10-21
000014,2004-02-24
000014,2005-08-17
000014,2006-04-14
000014,2006-05-08
000014,2007-03-12
000014,2007-03-15
000014,2007-04-12
000014,2007-06-27
000014,2009-11-25
000014,2011-04-12
000014,2013-11-28
000014,2014-07-10
000014,2014-11-12
000014,2015-06-01
000014,2015-10-29
000014,2016-07-13
000014,2016-07-15
000014,2018-06-27
000014,2019-08-29
000014,2020-06-10
000014,2020-06-11
000014,2020-06-12
000014,2020-06-29
000014,2020-07-10
000014,2021-06-09
000014,2021-09-15
000014,2022-05-19
000014,2022-09-14
000014,2022-09-19
000014,2022-11-23
000014,2023-08-02
000014,2024-03-11
000014,2024-03-14
000016,2003-04-09
000016,2004-01-12
000016,2004-02-17
000016,2005-08-17
000016,2006-05-26
000016,2006-07-06
000016,2006-08-10
000016,2007-05-14
000016,2007-05-21
000016,2007-08-07
000016,2008-11-19
000016,2009-04-20
000016,2009-07-20
000016,2009-07-22
000016,2009-10-27
000016,2009-10-28
000016,2009-11-30
000016,2010-08-06
000016,2012-09-18
000016,2013-01-14
000016,2013-01-18
000016,2013-08-06
000016,2013-12-05
000016,2014-09-24
000016,2014-11-18
000016,2015-02-10
000016,2016-07-12
000016,2016-07-19
000016,2016-07-21
000016,2016-11-28
000016,2017-06-02
000016,2017-06-13
000016,2017-06-15
000016,2018-01-18
000016,2018-01-31
000016,2021-04-30
000016,2021-05-10
000016,2021-12-10
000016,2022-06-10
000016,2023-02-20
000016,2023-11-17
000016,2023-11-23
000017,2000-03-13
000017,2004-02-18
000017,2004-06-15
000017,2004-10-08
000017,2005-08-16
000017,2005-11-11
000017,2010-09-03
000017,2011-04-21
000017,2012-02-21
000017,2014-01-24
000017,2014-04-04
000017,2015-02-04
000017,2016-10-28
000017,2016-11-01
000017,2017-01-04
000017,2019-03-11
000017,2019-03-25
000017,2019-09-02
000017,2022-01-17
000017,2022-05-26
000019,2000-05-31
000019,2000-11-14
000019,2000-12-15
000019,2001-03-26
000019,2001-05-29
000019,2002-03-18
000019,2005-08-24
000019,2005-08-29
000019,2006-01-18
000019,2007-10-31
000019,2009-02-23
000019,2009-04-01
000019,2009-07-22
000019,2009-11-25
000019,2009-11-30
000019,2010-03-10
000019,2010-04-09
000019,2010-09-10
000019,2011-02-28
000019,2011-03-04
000019,2012-02-21
000019,2012-03-01
000019,2014-08-25
000019,2014-08-28
000019,2015-02-05
000019,2015-03-09
000019,2015-03-11
000019,2015-11-05
000019,2020-03-10
000019,2020-03-12
000019,2020-03-13
000019,2020-07-20
000019,2021-12-31
000019,2022-01-10
000019,2022-04-07
000019,2022-06-02
000019,2022-12-13
000019,2023-07-26
000019,2023-07-28
000019,2023-12-06
000020,2000-04-11
000020,2003-01-27
000020,2010-08-06
000020,2010-08-31
000020,2011-03-16
000020,2012-02-22
000020,2012-03-01
000020,2012-03-13
000020,2012-04-24
000020,2013-01-14
000020,2013-01-23
000020,2015-06-01
000020,2018-03-19
000020,2019-03-07
000020,2019-03-11
000020,2021-03-30
000020,2021-06-15
000020,2021-06-18
000020,2022-01-17
000020,2022-06-10
000020,2022-08-23
000020,2022-09-21
000020,2022-09-22
000020,2023-02-13
000021,2003-01-24
000021,2005-08-15
000021,2006-01-18
000021,2006-04-07
000021,2007-04-20
000021,2007-08-28
000021,2008-01-14
000021,2010-03-31
000021,2010-04-01
000021,2010-09-17
000021,2011-11-14
000021,2012-03-01
